Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,1N4148W,D_SOD-123,525.525,-145.525,90.0,bottom
D2,1N4148W,D_SOD-123,542.525,-145.525,90.0,bottom
D3,1N4148W,D_SOD-123,559.525,-145.525,90.0,bottom
D4,1N4148W,D_SOD-123,576.525,-145.525,90.0,bottom
D5,1N4148W,D_SOD-123,593.525,-145.525,90.0,bottom
D6,1N4148W,D_SOD-123,610.525,-145.525,90.0,bottom
D7,1N4148W,D_SOD-123,627.525,-145.525,90.0,bottom
D8,1N4148W,D_SOD-123,644.525,-145.525,90.0,bottom
D9,1N4148W,D_SOD-123,661.525,-145.525,90.0,bottom
D10,1N4148W,D_SOD-123,678.525,-145.525,90.0,bottom
D11,1N4148W,D_SOD-123,695.525,-145.525,90.0,bottom
D12,1N4148W,D_SOD-123,712.525,-145.525,90.0,bottom
D13,1N4148W,D_SOD-123,729.525,-145.525,90.0,bottom
D14,1N4148W,D_SOD-123,755.025,-145.525,90.0,bottom
D15,1N4148W,D_SOD-123,784.775,-145.525,90.0,bottom
D16,1N4148W,D_SOD-123,801.775,-145.525,90.0,bottom
D17,1N4148W,D_SOD-123,818.775,-145.525,90.0,bottom
D18,1N4148W,D_SOD-123,529.775,-162.525,90.0,bottom
D19,1N4148W,D_SOD-123,551.025,-162.525,90.0,bottom
D20,1N4148W,D_SOD-123,568.025,-162.525,90.0,bottom
D21,1N4148W,D_SOD-123,585.025,-162.525,90.0,bottom
D22,1N4148W,D_SOD-123,602.025,-162.525,90.0,bottom
D23,1N4148W,D_SOD-123,619.025,-162.525,90.0,bottom
D24,1N4148W,D_SOD-123,636.025,-162.525,90.0,bottom
D25,1N4148W,D_SOD-123,653.025,-162.525,90.0,bottom
D26,1N4148W,D_SOD-123,670.025,-162.525,90.0,bottom
D27,1N4148W,D_SOD-123,687.025,-162.525,90.0,bottom
D28,1N4148W,D_SOD-123,704.025,-162.525,90.0,bottom
D29,1N4148W,D_SOD-123,721.025,-162.525,90.0,bottom
D30,1N4148W,D_SOD-123,739.675,-162.525,90.0,bottom
D31,1N4148W,D_SOD-123,762.675,-162.525,90.0,bottom
D32,1N4148W,D_SOD-123,784.775,-162.525,90.0,bottom
D33,1N4148W,D_SOD-123,801.775,-162.525,90.0,bottom
D34,1N4148W,D_SOD-123,818.775,-162.525,90.0,bottom
D35,1N4148W,D_SOD-123,531.9,-179.525,90.0,bottom
D36,1N4148W,D_SOD-123,555.275,-179.525,90.0,bottom
D37,1N4148W,D_SOD-123,572.275,-179.525,90.0,bottom
D38,1N4148W,D_SOD-123,589.275,-179.525,90.0,bottom
D39,1N4148W,D_SOD-123,606.275,-179.525,90.0,bottom
D40,1N4148W,D_SOD-123,623.275,-179.525,90.0,bottom
D41,1N4148W,D_SOD-123,640.275,-179.525,90.0,bottom
D42,1N4148W,D_SOD-123,657.275,-179.525,90.0,bottom
D43,1N4148W,D_SOD-123,674.275,-179.525,90.0,bottom
D44,1N4148W,D_SOD-123,691.275,-179.525,90.0,bottom
D45,1N4148W,D_SOD-123,708.275,-179.525,90.0,bottom
D46,1N4148W,D_SOD-123,725.275,-179.525,90.0,bottom
D47,1N4148W,D_SOD-123,752.9,-179.525,90.0,bottom
D48,1N4148W,D_SOD-123,536.15,-196.525,90.0,bottom
D49,1N4148W,D_SOD-123,563.775,-196.525,90.0,bottom
D50,1N4148W,D_SOD-123,577.675,-196.525,90.0,bottom
D51,1N4148W,D_SOD-123,597.775,-196.525,90.0,bottom
D52,1N4148W,D_SOD-123,614.775,-196.525,90.0,bottom
D53,1N4148W,D_SOD-123,631.775,-196.525,90.0,bottom
D54,1N4148W,D_SOD-123,645.675,-196.525,90.0,bottom
D55,1N4148W,D_SOD-123,665.775,-196.525,90.0,bottom
D56,1N4148W,D_SOD-123,682.775,-196.525,90.0,bottom
D57,1N4148W,D_SOD-123,699.775,-196.525,90.0,bottom
D58,1N4148W,D_SOD-123,716.775,-196.525,90.0,bottom
D59,1N4148W,D_SOD-123,740.15,-196.525,90.0,bottom
D60,1N4148W,D_SOD-123,763.525,-196.525,90.0,bottom
D61,1N4148W,D_SOD-123,801.775,-196.525,90.0,bottom
D62,1N4148W,D_SOD-123,527.65,-213.525,90.0,bottom
D63,1N4148W,D_SOD-123,548.9,-213.525,90.0,bottom
D64,1N4148W,D_SOD-123,570.15,-213.525,90.0,bottom
D65,1N4148W,D_SOD-123,599.9,-213.525,90.0,bottom
D66,1N4148W,D_SOD-123,633.9,-213.525,90.0,bottom
D67,1N4148W,D_SOD-123,667.9,-213.525,90.0,bottom
D68,1N4148W,D_SOD-123,697.65,-213.525,90.0,bottom
D69,1N4148W,D_SOD-123,718.9,-213.525,90.0,bottom
D70,1N4148W,D_SOD-123,740.15,-213.525,90.0,bottom
D71,1N4148W,D_SOD-123,761.4,-213.525,90.0,bottom
D72,1N4148W,D_SOD-123,784.775,-213.525,90.0,bottom
D73,1N4148W,D_SOD-123,801.775,-213.525,90.0,bottom
D74,1N4148W,D_SOD-123,818.775,-213.525,90.0,bottom
